,pred_step_data,label_step_data
256,34.83147,35.764286
257,34.323414,33.857143
258,32.60271,32.00357
259,32.28011,31.599997
260,32.261265,33.632145
261,33.4134,34.31786
262,33.276543,33.171425
263,31.957224,31.910717
264,31.352797,31.982141
265,31.865995,32.68929
266,32.168884,33.45
267,31.978073,33.414284
268,31.288486,34.164284
269,32.442806,34.10357
270,31.919556,31.153576
271,27.678755,28.564287
272,27.093107,25.832144
273,24.087297,23.085712
274,22.130354,22.892859
275,26.271227,25.364286
276,25.918507,28.77857
277,27.994467,26.442854
278,26.252634,26.103573
279,26.70161,25.342855
280,25.9222,26.07143
281,26.595932,26.70357
282,26.899982,27.921427
283,28.178614,28.34286
284,28.821547,29.328571
285,29.064365,29.128572
286,28.410807,28.403574
287,27.49745,27.275
288,25.479187,25.914286
289,25.82691,25.178572
290,26.425222,27.139288
291,27.893818,29.1
292,27.953001,29.067858
293,26.350306,26.839285
294,25.186583,25.814285
295,26.102217,24.192858
296,25.093977,22.02143
297,23.841295,23.796427
298,25.200058,27.378569
299,27.690985,28.989286
300,27.975666,28.717855
301,27.181543,27.39643
302,26.938282,23.87143
303,24.38011,24.153574
304,24.668499,22.610714
305,23.323595,25.992859
306,27.778414,27.392855
307,27.582531,24.79643
308,17.997221,20.025
309,19.743057,16.182142
310,17.01,17.571428
311,19.392147,18.789286
312,17.731075,18.196428
313,18.07156,15.175001
314,17.892687,17.110714
315,19.30193,19.564285
316,20.268435,22.425001
317,23.28235,24.810717
318,23.743567,26.810717
319,25.58995,25.014284
320,19.741796,21.664286
321,20.083984,22.25357
322,22.065897,23.153568
323,22.382763,21.282145
324,19.101513,20.167858
325,20.286272,22.007143
326,22.802633,21.907139
327,19.120228,19.192856
328,17.76037,18.482143
329,20.70578,20.585714
330,20.635424,20.935715
331,20.487995,20.385715
332,19.755735,19.042858
333,18.365217,18.47143
334,16.508974,18.307144
335,15.622386,15.578572
336,13.546537,12.642858
337,14.139054,15.724999
338,15.578162,16.357141
339,15.683779,18.714285
340,17.459438,19.664286
341,19.852175,22.121428
342,21.411198,22.046429
343,20.51855,23.232145
344,18.435225,20.878572
345,20.0374,22.492859
