,pred_step_data,label_step_data
0,12.86381,13.803573
1,13.056509,13.846428
2,14.361483,16.425
3,16.57528,19.185715
4,18.756302,19.432144
5,16.657583,17.860714
6,16.286797,18.967855
7,18.292501,19.40357
8,18.54597,21.15714
9,21.018072,21.074999
10,21.351374,23.775
11,21.043365,21.81786
12,22.265257,22.746428
13,22.560154,22.982141
14,24.09489,21.675
15,21.403399,21.760714
16,17.084291,17.882143
17,17.760744,22.64643
18,19.323034,20.90714
19,19.865078,20.439285
20,21.599447,21.949999
21,21.059656,22.871428
22,20.242931,23.414286
23,23.668196,20.62143
24,19.960735,18.925
25,12.696683,14.110713
26,12.713606,13.517856
27,12.702783,17.171427
28,16.529863,19.071428
29,19.232178,21.571428
30,21.581354,23.235716
31,23.060379,24.039288
32,24.702284,25.085712
33,25.892212,27.139284
34,26.35898,28.478573
35,27.388681,23.028568
36,25.17236,26.610716
37,25.913029,24.814283
38,24.973055,24.082142
39,19.153294,19.824999
40,13.806287,11.028572
41,12.861952,10.321428
42,13.094606,17.0
43,16.919954,20.05
44,21.424162,20.210712
45,21.50092,21.69643
46,19.959524,22.910711
47,21.424143,23.235714
48,24.795324,24.589285
49,25.84653,25.689285
50,24.948523,22.192858
51,15.917198,17.328571
52,15.550568,16.621428
53,15.740487,15.750001
54,17.218397,18.542858
55,18.656858,17.90714
56,18.295778,21.22857
57,24.112167,26.110716
58,25.08076,23.010717
59,15.521711,16.989286
60,18.88529,17.975
61,17.15744,20.149998
62,21.079285,21.09643
63,22.639206,21.500002
64,23.569067,27.103573
65,25.07327,25.725
66,23.228678,21.85
67,22.077152,25.025003
68,25.646193,27.003572
69,26.51597,22.87143
70,17.957708,18.457142
71,19.602634,24.575
72,25.05742,25.07857
73,26.07081,25.489286
74,26.67088,26.33571
75,27.383163,23.617857
76,19.870241,23.99643
77,23.495924,25.535717
78,26.038181,25.682142
79,26.679047,26.696426
80,27.616312,27.096426
81,27.895523,25.34643
82,26.852224,28.875
83,28.563278,29.039286
84,28.744003,29.892855
85,29.385757,29.40714
86,29.018734,27.939287
87,20.289951,20.317856
88,17.705618,21.121426
89,23.08104,24.621428
90,27.153458,27.378572
91,28.596403,30.135714
92,30.192453,32.31071
93,31.844965,31.93929
94,31.666233,29.860716
95,29.640354,29.399998
96,29.701,29.035715
97,24.279541,22.732143
98,24.197483,22.824999
99,26.287886,22.603573
100,24.855734,24.010712
101,26.87225,27.425001
102,26.886858,23.389282
103,22.945374,26.625
104,28.593695,29.057144
105,30.65058,28.85357
106,30.467663,28.603573
107,30.177126,30.292856
108,30.713123,30.85
109,31.028578,27.62143
110,26.034544,30.239286
111,30.797483,32.539284
112,31.581415,29.078571
113,28.369694,29.792858
114,30.868465,29.5
115,30.349058,31.435717
116,31.368214,32.132145
117,32.067635,29.085712
118,30.986069,28.300001
119,29.177982,31.821428
120,31.795168,27.507143
121,27.477327,28.892859
122,28.455168,30.485716
123,31.26471,29.353573
124,29.982483,26.814285
125,26.79381,25.539288
126,27.027206,27.521427
127,28.694384,27.407145
128,28.46462,31.639286
129,31.926458,27.532145
130,26.144396,28.460714
131,29.41536,27.785711
132,28.16087,31.332144
